event_date,ssource,medium,campaign,event_name,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2021-01-20,(direct),(none),(direct),session_start,1093,0,0,0
2021-01-20,shop.googlemerchandisestore.com,referral,(referral),session_start,347,0,0,0
2021-01-20,<Other>,<Other>,<Other>,session_start,696,0,0,0
2021-01-20,google,organic,(organic),session_start,1445,0,0,0
2021-01-20,(data deleted),(data deleted),<Other>,session_start,9,0,0,0
2021-01-20,(data deleted),(data deleted),(data deleted),session_start,271,0,0,0
2021-01-20,<Other>,organic,(organic),session_start,143,0,0,0
2021-01-20,google,cpc,<Other>,session_start,197,0,0,0
2021-01-20,<Other>,referral,(referral),session_start,463,0,0,0
2021-01-20,<Other>,(data deleted),(data deleted),session_start,5,0,0,0
2021-01-20,(data deleted),(data deleted),(data deleted),purchase,11,0,0,0.090909090909090912
2021-01-20,<Other>,organic,(organic),begin_checkout,9,0,0.1111111111111111,0
2021-01-20,<Other>,referral,(referral),purchase,9,0,0,0.1111111111111111
2021-01-20,google,organic,(organic),add_to_cart,74,0.013513513513513514,0,0
2021-01-20,<Other>,referral,(referral),begin_checkout,13,0,0.076923076923076927,0
2021-01-20,shop.googlemerchandisestore.com,referral,(referral),begin_checkout,16,0,0.0625,0
2021-01-20,shop.googlemerchandisestore.com,referral,(referral),purchase,12,0,0,0.083333333333333329
2021-01-20,google,organic,(organic),begin_checkout,34,0,0.029411764705882353,0
2021-01-20,google,cpc,<Other>,add_to_cart,4,0.25,0,0
2021-01-20,<Other>,organic,(organic),add_to_cart,9,0.1111111111111111,0,0
2021-01-20,(direct),(none),(direct),begin_checkout,31,0,0.032258064516129031,0
2021-01-20,(direct),(none),(direct),add_to_cart,51,0.0196078431372549,0,0
2021-01-20,<Other>,<Other>,<Other>,begin_checkout,21,0,0.047619047619047616,0
2021-01-20,(data deleted),(data deleted),(data deleted),begin_checkout,15,0,0.066666666666666666,0
2021-01-20,<Other>,<Other>,<Other>,purchase,16,0,0,0.0625
2021-01-20,google,organic,(organic),purchase,23,0,0,0.043478260869565216
2021-01-20,(direct),(none),(direct),purchase,17,0,0,0.058823529411764705
2021-01-20,<Other>,<Other>,<Other>,add_to_cart,34,0.029411764705882353,0,0
2021-01-20,<Other>,referral,(referral),add_to_cart,24,0.041666666666666664,0,0
2021-01-20,(data deleted),(data deleted),(data deleted),add_to_cart,20,0.05,0,0
2021-01-20,<Other>,(data deleted),(data deleted),add_to_cart,1,1,0,0
2020-11-29,<Other>,referral,(referral),session_start,298,0,0,0
2020-11-29,google,organic,(organic),session_start,982,0,0,0
2020-11-29,<Other>,<Other>,<Other>,session_start,488,0,0,0
2020-11-29,shop.googlemerchandisestore.com,referral,(referral),session_start,255,0,0,0
2020-11-29,(direct),(none),(direct),session_start,746,0,0,0
2020-11-29,<Other>,(data deleted),(data deleted),session_start,4,0,0,0
2020-11-29,google,cpc,<Other>,session_start,130,0,0,0
2020-11-29,(data deleted),(data deleted),(data deleted),session_start,193,0,0,0
2020-11-29,<Other>,organic,(organic),session_start,96,0,0,0
2020-11-29,(data deleted),(data deleted),(data deleted),begin_checkout,13,0,0.076923076923076927,0
2020-11-29,shop.googlemerchandisestore.com,referral,(referral),begin_checkout,8,0,0.125,0
2020-11-29,(direct),(none),(direct),begin_checkout,26,0,0.038461538461538464,0
2020-11-29,<Other>,(data deleted),(data deleted),begin_checkout,1,0,1,0
2020-11-29,<Other>,<Other>,<Other>,purchase,5,0,0,0.2
2020-11-29,google,organic,(organic),begin_checkout,40,0,0.025,0
2020-11-29,(direct),(none),(direct),add_to_cart,65,0.015384615384615385,0,0
2020-11-29,google,cpc,<Other>,begin_checkout,2,0,0.5,0
2020-11-29,google,cpc,<Other>,add_to_cart,7,0.14285714285714285,0,0
2020-11-29,google,organic,(organic),purchase,15,0,0,0.066666666666666666
2020-11-29,<Other>,organic,(organic),purchase,2,0,0,0.5
2020-11-29,<Other>,organic,(organic),add_to_cart,3,0.33333333333333331,0,0
2020-11-29,<Other>,<Other>,<Other>,begin_checkout,21,0,0.047619047619047616,0
2020-11-29,<Other>,<Other>,<Other>,add_to_cart,39,0.02564102564102564,0,0
2020-11-29,google,organic,(organic),add_to_cart,80,0.0125,0,0
2020-11-29,shop.googlemerchandisestore.com,referral,(referral),add_to_cart,24,0.041666666666666664,0,0
2020-11-29,<Other>,referral,(referral),add_to_cart,23,0.043478260869565216,0,0
