event_timestamp,user_pseudo_id,session_id,event_name,country,category,source,medium,campaign
2021-01-01,1003046.9452926974,3209612510,session_start,France,desktop,google,organic,(organic)
2021-01-01,1023282.4639847710,7473279052,view_item,India,mobile,<Other>,<Other>,<Other>
2021-01-01,1023282.4639847710,7473279052,session_start,India,mobile,<Other>,<Other>,<Other>
2021-01-01,1023282.4639847710,7473279052,add_shipping_info,India,mobile,<Other>,<Other>,<Other>
2021-01-01,1026043.4481623879,5588834374,session_start,United States,desktop,<Other>,referral,(referral)
2021-01-01,1026043.4481623879,9083794581,session_start,United States,desktop,google,cpc,<Other>
2021-01-01,1026409.1551860912,1636061293,session_start,United States,mobile,<Other>,referral,(referral)
2021-01-01,1026409.1551860912,328130591,session_start,United States,mobile,(data deleted),(data deleted),(data deleted)
2021-01-01,1032138.1796039159,7352869284,session_start,Canada,mobile,(direct),(none),(direct)
2021-01-01,1037928.9294661675,2214210438,session_start,India,mobile,<Other>,<Other>,<Other>
2021-01-01,1045950.7099606829,2961336242,session_start,United States,desktop,(direct),(none),(direct)
2021-01-01,1051288.9523352374,301526162,session_start,Bangladesh,desktop,<Other>,referral,(referral)
2021-01-01,1054372.6755770068,5017102538,session_start,United States,mobile,<Other>,<Other>,<Other>
2021-01-01,1064574.6224708641,8286443552,session_start,Kuwait,mobile,<Other>,referral,(referral)
2021-01-01,1066655.6240997015,4853714198,session_start,Indonesia,desktop,google,organic,(organic)
2021-01-01,1080064.0071613184,3437704805,session_start,Brazil,desktop,google,organic,(organic)
2021-01-01,1082746.7285674512,5036401017,session_start,Canada,desktop,<Other>,referral,(referral)
2021-01-01,1097358.9593491100,5513366801,session_start,Greece,mobile,(direct),(none),(direct)
2021-01-01,1104313.9641823605,5509597950,session_start,China,desktop,(direct),(none),(direct)
2021-01-01,1107198.5152483918,7833645738,session_start,Canada,mobile,google,organic,(organic)
2021-01-01,1112823.8475775772,4251926878,add_shipping_info,India,desktop,(direct),(none),(direct)
2021-01-01,1112823.8475775772,4251926878,view_item,India,desktop,(direct),(none),(direct)
2021-01-01,1116587.1725520171,7574595789,session_start,United States,mobile,google,organic,(organic)
2021-01-01,1127824.3503063268,6303868874,session_start,Turkey,desktop,(direct),(none),(direct)
2021-01-01,1134825.6533092350,8372021476,session_start,India,mobile,<Other>,referral,(referral)
2021-01-01,1138692.0103796281,292439755,session_start,Japan,mobile,<Other>,<Other>,<Other>
2021-01-01,1160488.2375923167,2309154775,view_item,Portugal,desktop,(direct),(none),(direct)
2021-01-01,1160488.2375923167,2309154775,add_shipping_info,Portugal,desktop,(direct),(none),(direct)
